Sample,VanG2XY,VanGXY,aac(6')-Ii,ant(3'')-Ia,ant(6)-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,ACI-1,OXA-347,OXA-471,TEM-104,TEM-1B,catA1,catS,cat,cepA,cfiA13,cfiA4,cfxA3,cfxA6,dfrA14,dfrA7,dfrA8,erm(B),erm(F),erm(G),erm(Q),erm(T),fosA,mef(A),msr(C),msr(D),nimE,rmtD,rmtF,sul1,sul2,tet(32),tet(40),tet(44),tet(A),tet(B),tet(M),tet(O),tet(Q),tet(W),tetA(46),tetA(P),tetB(46),tetB(P)
C1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,92.88,100,.,.,.,100,.,100,.,.,94.36,.,.,.,.,.,.,.,100,.,99.8,82.45;100,.,100,.,100
C10,.,.,.,.,100,.,.,100,100,.,.,.,.,.,.,100,.,.,.,100,100,.,.,.,.,92.88,100,.,.,.,100,.,100,.,.,.,.,100,.,88.45,100,.,.,.,.,82.7,100,.,100;96.36,.,100
C11,.,.,.,.,100,.,.,.,.,.,.,.,.,.,100,.,.,.,.,100,100,.,.,.,.,92.88,100,.,.,.,100,.,100,.,.,.,.,97.79,.,100,.,.,.,100,.,88.63;99.85,.,.,100,.,100
C12,100,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,92.88,100,.,100,.,100,.,100,.,.,.,.,.,.,100,.,.,.,100,.,99.85,100,.,100,.,100
C2,.,.,.,.,.,100,.,85.9,.,.,.,.,.,.,100,.,.,97.87,.,.,100,.,.,.,.,92.88,100,.,.,.,100,.,100,.,.,.,.,100,.,87.31,.,.,.,100,.,100.00;91.85,100,.,100,.,100
C3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,.,.,.,100,.,.,.,.,.,.,.,.,.,.,.,100,.,87.31,.,.,.,91.3,.,100;99.85,100,.,100,.,100
C4,.,.,.,.,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,92.88,100,.,100,.,.,.,.,.,.,.,.,100,100,.,.,.,.,.,93.23,.,99.17;100,.,100,.,100
C5,86.36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,92.88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,.,99.85,100,.,100,.,100
C6,.,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,92.88,100,.,.,.,100,.,100,.,.,.,.,.,.,88.45,.,.,.,100,.,99.33,100,.,100,.,.
C7,100,.,.,82.51,.,.,.,.,.,100,.,80.14,.,.,100,.,.,.,.,100,100,.,.,.,.,100,100,.,.,.,100,.,100,.,.,.,.,100,100,88.45,.,.,.,.,100,99.85,100,.,.,.,.
C8,.,.,.,.,100,.,.,100,100,100,.,.,.,.,100,.,100,.,.,100,100,100,.,.,.,92.88,100,.,.,.,100,.,100,.,.,.,.,100,100,.,100,100,.,.,.,91.85,100,.,100,.,100
C9,.,82.05,100,.,100,.,.,93.79,.,.,.,.,.,.,.,100,.,.,100,100,100,100,.,.,.,100,100,100,.,.,100,100,.,.,.,.,.,100,100,87.31,95.58,100,.,.,100,100,100,.,100,.,100
U1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,92.88,86.53,.,100,.,100,.,100,90.06,.,.,.,100,.,88.45,.,.,.,.,.,99.85,100,.,.,.,.
U10,.,.,.,.,.,100,.,99.4,.,.,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,.,.,100,100,81.72;96.73,100,.,100,.,100
U11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,92.88,.,.,.,.,.,.,.,.,.,.,.,.,.,88.45,.,.,.,.,.,99.33;100.00;88.35,100,.,100,.,100
U12,.,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,100,100,.,.,.,100,.,100,.,.,.,.,100,100.00;100.00,.,.,.,.,.,100,99.85,100,.,100.00;100.00,.,100.00;100.00
U2,.,.,.,.,100,100,.,88.89,.,.,.,.,100,.,.,.,.,.,.,100,100,.,.,100,.,100,.,.,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,100,100,99.33;99.85,99.17;100,.,100,.,100
U3,.,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,92.88,100,.,.,.,100,.,100,.,.,.,.,100,.,87.31,100,.,.,90.94,.,84.32;99.33,81.35;100,.,100,.,100
U4,93.21,.,.,.,100,.,.,.,.,.,.,.,.,.,.,100,.,.,.,100,100,.,.,.,100,92.88,100,.,.,.,100,.,100,.,.,.,.,100,.,.,.,.,.,85.99,.,91.54;91.54,99.17;100,.,100,.,100
U5,.,.,.,.,100,.,.,.,.,100,.,.,.,.,.,.,.,.,.,100,100,.,.,.,.,92.88,.,.,.,.,100,.,100,.,.,.,.,.,.,100,.,.,.,.,93.23,100,100,.,100,.,100
