"SGB","Sample1","Sample2","mutation_rate","Household1","Household2","same_household","distance_m"
"t__SGB10068","C8","U9",0.019870623,"S.3.AUX","S.1.AZG","No",329.2
"t__SGB10068","C8","Z10",0.011292584,"S.3.AUX","S.3.AUZ","No",41.3
"t__SGB10068","C8","Z11",0.008577822,"S.3.AUX","S.3.AVR","No",203.2
"t__SGB10068","C8","Z8",0.009045035,"S.3.AUX","S.3.ATD","No",81.3
"t__SGB10068","U9","Z10",0.007216326,"S.1.AZG","S.3.AUZ","No",367.3
"t__SGB10068","U9","Z11",0.020484004,"S.1.AZG","S.3.AVR","No",400.8
"t__SGB10068","U9","Z8",0.018832863,"S.1.AZG","S.3.ATD","No",247.9
"t__SGB10068","Z10","Z11",0.012062667,"S.3.AUZ","S.3.AVR","No",186.8
"t__SGB10068","Z10","Z8",0.010483673,"S.3.AUZ","S.3.ATD","No",120.2
"t__SGB10068","Z11","Z8",0.004507827,"S.3.AVR","S.3.ATD","No",225.2
"t__SGB1024","C1","C2",0.004329139,"S.1.AYL","S.1.AXH","No",328.4
"t__SGB1024","C1","C6",0.003520908,"S.1.AYL","S.1.BEE","No",45.3
"t__SGB1024","C1","C8",0.003890768,"S.1.AYL","S.3.AUX","No",150.2
"t__SGB1024","C1","U11",0.00380439,"S.1.AYL","S.3.AUH","No",198
"t__SGB1024","C1","U5",0.0034888,"S.1.AYL","S.2.ARG","No",193.3
"t__SGB1024","C1","U7",0.004455556,"S.1.AYL","S.3.ATS","No",300.6
"t__SGB1024","C1","Z11",0.003784933,"S.1.AYL","S.3.AVR","No",294.4
"t__SGB1024","C1","Z12",0.008164874,"S.1.AYL","S.3.AWG","No",321
"t__SGB1024","C2","C6",0.004402477,"S.1.AXH","S.1.BEE","No",293.2
"t__SGB1024","C2","C8",0.004362848,"S.1.AXH","S.3.AUX","No",471.4
"t__SGB1024","C2","U11",0.004525802,"S.1.AXH","S.3.AUH","No",384.8
"t__SGB1024","C2","U5",0.004546963,"S.1.AXH","S.2.ARG","No",384.9
"t__SGB1024","C2","U7",0.004824543,"S.1.AXH","S.3.ATS","No",497.6
"t__SGB1024","C2","Z11",0.004479841,"S.1.AXH","S.3.AVR","No",536.3
"t__SGB1024","C2","Z12",0.008045566,"S.1.AXH","S.3.AWG","No",566.5
"t__SGB1024","C6","C8",0.004139283,"S.1.BEE","S.3.AUX","No",194.3
"t__SGB1024","C6","U11",0.004039199,"S.1.BEE","S.3.AUH","No",228.1
"t__SGB1024","C6","U5",0.002924068,"S.1.BEE","S.2.ARG","No",171.3
"t__SGB1024","C6","U7",0.00457616,"S.1.BEE","S.3.ATS","No",337
"t__SGB1024","C6","Z11",0.00391856,"S.1.BEE","S.3.AVR","No",336.1
"t__SGB1024","C6","Z12",0.008241829,"S.1.BEE","S.3.AWG","No",363.4
"t__SGB1024","C8","U11",0.003973276,"S.3.AUX","S.3.AUH","No",199
"t__SGB1024","C8","U5",0.004014481,"S.3.AUX","S.2.ARG","No",282.7
"t__SGB1024","C8","U7",0.004377732,"S.3.AUX","S.3.ATS","No",244.8
"t__SGB1024","C8","Z11",0.0033093,"S.3.AUX","S.3.AVR","No",203.2
"t__SGB1024","C8","Z12",0.00824431,"S.3.AUX","S.3.AWG","No",220.7
"t__SGB1024","U11","U5",0.004032697,"S.3.AUH","S.2.ARG","No",391.3
"t__SGB1024","U11","U7",0.00454584,"S.3.AUH","S.3.ATS","No",118.6
"t__SGB1024","U11","Z11",0.003551449,"S.3.AUH","S.3.AVR","No",152.5
"t__SGB1024","U11","Z12",0.008412776,"S.3.AUH","S.3.AWG","No",182.4
"t__SGB1024","U5","U7",0.004587933,"S.2.ARG","S.3.ATS","No",489.4
"t__SGB1024","U5","Z11",0.003919149,"S.2.ARG","S.3.AVR","No",471.7
"t__SGB1024","U5","Z12",0.008422712,"S.2.ARG","S.3.AWG","No",494.7
"t__SGB1024","U7","Z11",0.004648685,"S.3.ATS","S.3.AVR","No",74.3
"t__SGB1024","U7","Z12",0.008516949,"S.3.ATS","S.3.AWG","No",93.9
"t__SGB1024","Z11","Z12",0.008304071,"S.3.AVR","S.3.AWG","No",30.2
"t__SGB117863","C1","C11",0.008083354,"S.1.AYL","S.1.BBF","No",260.5
"t__SGB117863","C1","U4",0.006454084,"S.1.AYL","S.1.BBM","No",218.8
"t__SGB117863","C1","Z2",0.008216951,"S.1.AYL","S.1.AXQ","No",288.4
"t__SGB117863","C1","Z3",0.006843599,"S.1.AYL","S.1.AXW","No",283.6
"t__SGB117863","C1","Z6",0.008443087,"S.1.AYL","S.1.BBF","No",260.5
"t__SGB117863","C1","Z9",0.008284149,"S.1.AYL","S.3.ATW","No",261.9
"t__SGB117863","C11","U4",0.007597857,"S.1.BBF","S.1.BBM","No",188.8
"t__SGB117863","C11","Z2",0.007058298,"S.1.BBF","S.1.AXQ","No",155.7
"t__SGB117863","C11","Z3",0.007119842,"S.1.BBF","S.1.AXW","No",187.7
"t__SGB117863","C11","Z6",0.006678464,"S.1.BBF","S.1.BBF","Yes",0
"t__SGB117863","C11","Z9",0.007064072,"S.1.BBF","S.3.ATW","No",230.3
"t__SGB117863","U4","Z2",0.007706543,"S.1.BBM","S.1.AXQ","No",323.2
"t__SGB117863","U4","Z3",0.005514494,"S.1.BBM","S.1.AXW","No",344.2
"t__SGB117863","U4","Z6",0.007906821,"S.1.BBM","S.1.BBF","No",188.8
"t__SGB117863","U4","Z9",0.008137057,"S.1.BBM","S.3.ATW","No",51.9
"t__SGB117863","Z2","Z3",0.007575956,"S.1.AXQ","S.1.AXW","No",38.4
"t__SGB117863","Z2","Z6",0.006549633,"S.1.AXQ","S.1.BBF","No",155.7
"t__SGB117863","Z2","Z9",0.003721102,"S.1.AXQ","S.3.ATW","No",371.4
"t__SGB117863","Z3","Z6",0.008032957,"S.1.AXW","S.1.BBF","No",187.7
"t__SGB117863","Z3","Z9",0.007724697,"S.1.AXW","S.3.ATW","No",394
"t__SGB117863","Z6","Z9",0.007168125,"S.1.BBF","S.3.ATW","No",230.3
"t__SGB1303","C10","U3",0.003375975,"S.3.AVZ","S.1.BBI","No",384
"t__SGB1303","C10","U4",0.005003178,"S.3.AVZ","S.1.BBM","No",175.5
"t__SGB1303","C10","U7",0.004203778,"S.3.AVZ","S.3.ATS","No",94.3
"t__SGB1303","C10","U9",0.003461979,"S.3.AVZ","S.1.AZG","No",383.3
"t__SGB1303","C10","Z1",0.004611522,"S.3.AVZ","S.1.AXN","No",486.1
"t__SGB1303","C10","Z3",0.003271576,"S.3.AVZ","S.1.AXW","No",490.7
"t__SGB1303","U3","U4",0.004225484,"S.1.BBI","S.1.BBM","No",210.1
"t__SGB1303","U3","U7",0.000589896,"S.1.BBI","S.3.ATS","No",335.9
"t__SGB1303","U3","U9",5.4e-05,"S.1.BBI","S.1.AZG","No",146.3
"t__SGB1303","U3","Z1",0.004453359,"S.1.BBI","S.1.AXN","No",157.9
"t__SGB1303","U3","Z3",0.002715758,"S.1.BBI","S.1.AXW","No",194.6
"t__SGB1303","U4","U7",0.004310799,"S.1.BBM","S.3.ATS","No",131.5
"t__SGB1303","U4","U9",0.004289806,"S.1.BBM","S.1.AZG","No",241.9
"t__SGB1303","U4","Z1",0.004363532,"S.1.BBM","S.1.AXN","No",329.5
"t__SGB1303","U4","Z3",0.003565807,"S.1.BBM","S.1.AXW","No",344.2
"t__SGB1303","U7","U9",0.000631003,"S.3.ATS","S.1.AZG","No",370.4
"t__SGB1303","U7","Z1",0.004624347,"S.3.ATS","S.1.AXN","No",461
"t__SGB1303","U7","Z3",0.002773268,"S.3.ATS","S.1.AXW","No",474.6
"t__SGB1303","U9","Z1",0.004452395,"S.1.AZG","S.1.AXN","No",112.2
"t__SGB1303","U9","Z3",0.002801054,"S.1.AZG","S.1.AXW","No",107.5
"t__SGB1303","Z1","Z3",0.004991643,"S.1.AXN","S.1.AXW","No",47.7
"t__SGB1333","U4","U5",7.6e-06,"S.1.BBM","S.2.ARG","No",411.3
"t__SGB1333","U4","U7",0.011927634,"S.1.BBM","S.3.ATS","No",131.5
"t__SGB1333","U4","Z3",0.01041208,"S.1.BBM","S.1.AXW","No",344.2
"t__SGB1333","U4","Z4",0.020891987,"S.1.BBM","S.1.AZW","No",98.6
"t__SGB1333","U4","Z6",0.011153311,"S.1.BBM","S.1.BBF","No",188.8
"t__SGB1333","U5","U7",0.011907107,"S.2.ARG","S.3.ATS","No",489.4
"t__SGB1333","U5","Z3",0.010332327,"S.2.ARG","S.1.AXW","No",335.3
"t__SGB1333","U5","Z4",0.020872895,"S.2.ARG","S.1.AZW","No",328.4
"t__SGB1333","U5","Z6",0.011138518,"S.2.ARG","S.1.BBF","No",407.7
"t__SGB1333","U7","Z3",0.011766169,"S.3.ATS","S.1.AXW","No",474.6
"t__SGB1333","U7","Z4",0.019617448,"S.3.ATS","S.1.AZW","No",165
"t__SGB1333","U7","Z6",0.011642008,"S.3.ATS","S.1.BBF","No",317.7
"t__SGB1333","Z3","Z4",0.021313728,"S.1.AXW","S.1.AZW","No",342.4
