SGB,Sample1,Sample2
t__SGB10068,ERR14760447,ERR14760576
t__SGB10068,ERR14760447,ERR14760847
t__SGB10068,ERR14760447,ERR14760637
t__SGB10068,ERR14760447,ERR14760865
t__SGB10068,ERR14760447,ERR14760710
t__SGB10068,ERR14760447,ERR14760611
t__SGB10068,ERR14760576,ERR14760710
t__SGB10068,ERR14760576,ERR14760611
t__SGB10068,ERR14760441,ERR14760447
t__SGB10068,ERR14760441,ERR14760847
t__SGB10068,ERR14760441,ERR14760637
t__SGB10068,ERR14760441,ERR14760606
t__SGB10068,ERR14760441,ERR14760865
t__SGB10068,ERR14760441,ERR14760710
t__SGB10068,ERR14760441,ERR14760611
t__SGB10068,ERR14760637,ERR14760847
t__SGB10068,ERR14760637,ERR14760710
t__SGB10068,ERR14760606,ERR14760847
t__SGB10068,ERR14760606,ERR14760637
t__SGB10068,ERR14760710,ERR14760847
t__SGB10068,ERR14760710,ERR14760865
t__SGB10068,ERR14760611,ERR14760865
t__SGB10068,ERR14760611,ERR14760710
t__SGB10068,ERR14760724,ERR14760771
t__SGB10068,ERR14760770,ERR14760810
t__SGB13976,C11,U6
t__SGB13976,C11,Z8
t__SGB13976,C11,Z6
t__SGB13976,C11,U7
t__SGB13976,C11,Z11
t__SGB13976,U6,U9
t__SGB13976,U6,Z11
t__SGB13976,C10,C4
t__SGB13976,Z6,Z8
t__SGB13976,U7,Z8
t__SGB13976,U7,Z6
t__SGB13976,U7,Z11
t__SGB13976,U7,Z12
t__SGB13976,C5,Z11
t__SGB13976,C6,Z11
t__SGB13976,U8,Z11
t__SGB13976,C7,U8
t__SGB13976,Z11,Z8
t__SGB13976,Z11,Z6
t__SGB13976,Z11,Z12
t__SGB13976,Z12,Z6
t__SGB14306,C4,Z8
t__SGB14306,ERR14760628,ERR14760810
t__SGB14306,ERR14760628,ERR14760644
t__SGB14306,ERR14760644,ERR14760810
t__SGB14306,U7,Z12
t__SGB14306,ERR14760581,ERR14760864
t__SGB14311,C6,Z10
t__SGB14311,C6,Z6
t__SGB14311,C6,U9
t__SGB14311,C6,C8
t__SGB14311,ERR14760509,ERR14760847
t__SGB14311,Z10,Z6
t__SGB14311,C7,Z10
t__SGB14311,C7,Z6
t__SGB14311,ERR14760447,ERR14760648
t__SGB14311,U7,Z5
t__SGB14311,U9,Z5
t__SGB14311,C8,Z6
t__SGB14311,C8,U9
t__SGB14313,C8,Z12
t__SGB1437,U9,Z3
t__SGB1437,U7,Z10
t__SGB1437,U6,U8
t__SGB1437,ERR14760695,ERR14760864
t__SGB14535_group,C9,U12
t__SGB14535_group,C9,U9
t__SGB14535_group,C9,Z9
t__SGB14535_group,C9,Z10
t__SGB14535_group,C9,Z11
t__SGB14535_group,C9,U11
t__SGB14535_group,C9,Z8
t__SGB14535_group,C9,Z3
t__SGB14535_group,C9,Z7
t__SGB14535_group,C9,U5
t__SGB14535_group,C9,Z4
t__SGB14535_group,C8,C9
t__SGB14535_group,C8,U12
t__SGB14535_group,C8,U9
t__SGB14535_group,C8,Z1
t__SGB14535_group,C8,Z9
t__SGB14535_group,C8,Z10
t__SGB14535_group,C8,Z11
t__SGB14535_group,C8,U11
t__SGB14535_group,C8,Z3
t__SGB14535_group,C8,Z7
t__SGB14535_group,C8,U5
t__SGB14535_group,C8,Z4
t__SGB14535_group,U12,U9
t__SGB14535_group,U12,Z1
t__SGB14535_group,U12,Z9
t__SGB14535_group,U12,Z10
t__SGB14535_group,U12,Z11
t__SGB14535_group,U12,Z8
t__SGB14535_group,U12,Z3
t__SGB14535_group,U12,Z7
t__SGB14535_group,U12,Z5
t__SGB14535_group,U12,U5
t__SGB14535_group,U12,Z4
t__SGB14535_group,C4,C9
t__SGB14535_group,C4,C8
t__SGB14535_group,C4,U12
t__SGB14535_group,C4,C6
t__SGB14535_group,C4,U9
t__SGB14535_group,C4,Z1
t__SGB14535_group,C4,Z9
t__SGB14535_group,C4,Z10
t__SGB14535_group,C4,U11
t__SGB14535_group,C4,Z4
t__SGB14535_group,C4,C5
t__SGB14535_group,C1,C9
t__SGB14535_group,C1,C8
t__SGB14535_group,C1,U12
t__SGB14535_group,C1,C4
t__SGB14535_group,C1,C6
t__SGB14535_group,C1,U9
t__SGB14535_group,C1,Z1
t__SGB14535_group,C1,C11
t__SGB14535_group,C1,Z9
t__SGB14535_group,C1,C3
t__SGB14535_group,C1,Z10
t__SGB14535_group,C1,U11
t__SGB14535_group,C1,Z4
t__SGB14535_group,C1,C5
t__SGB14535_group,C6,C9
t__SGB14535_group,C6,C8
t__SGB14535_group,C6,U12
t__SGB14535_group,C6,U9
t__SGB14535_group,C6,Z1
t__SGB14535_group,C6,Z9
t__SGB14535_group,C6,Z10
t__SGB14535_group,C6,Z11
t__SGB14535_group,C6,U11
t__SGB14535_group,C6,Z4
t__SGB14535_group,U9,Z1
t__SGB14535_group,U9,Z9
t__SGB14535_group,U9,Z10
t__SGB14535_group,U9,Z11
t__SGB14535_group,U9,Z7
t__SGB14535_group,U9,Z4
t__SGB14535_group,Z1,Z9
t__SGB14535_group,Z1,Z10
t__SGB14535_group,Z1,Z4
t__SGB14535_group,C11,C9
t__SGB14535_group,C11,C8
t__SGB14535_group,C11,U12
t__SGB14535_group,C11,C4
t__SGB14535_group,C11,C6
t__SGB14535_group,C11,U9
t__SGB14535_group,C11,Z1
t__SGB14535_group,C11,Z9
t__SGB14535_group,C11,C3
t__SGB14535_group,C11,Z10
t__SGB14535_group,C11,U11
t__SGB14535_group,C11,Z4
t__SGB14535_group,C11,C5
t__SGB14535_group,C3,C9
t__SGB14535_group,C3,C8
t__SGB14535_group,C3,U12
t__SGB14535_group,C3,C4
t__SGB14535_group,C3,C6
t__SGB14535_group,C3,U9
t__SGB14535_group,C3,Z1
t__SGB14535_group,C3,Z9
t__SGB14535_group,C3,Z10
t__SGB14535_group,C3,Z11
t__SGB14535_group,C3,U11
t__SGB14535_group,C3,Z3
t__SGB14535_group,C3,Z7
t__SGB14535_group,C3,U5
t__SGB14535_group,C3,Z4
t__SGB14535_group,C3,C5
t__SGB14535_group,Z10,Z9
t__SGB14535_group,Z10,Z11
t__SGB14535_group,Z10,Z8
t__SGB14535_group,Z10,Z3
t__SGB14535_group,Z10,Z7
t__SGB14535_group,Z10,Z4
t__SGB14535_group,C2,C9
t__SGB14535_group,C2,C8
t__SGB14535_group,C2,U12
t__SGB14535_group,C2,C6
t__SGB14535_group,C2,U9
t__SGB14535_group,C2,Z9
t__SGB14535_group,C2,C3
t__SGB14535_group,C2,Z10
t__SGB14535_group,C2,Z11
t__SGB14535_group,C2,U11
t__SGB14535_group,C2,Z8
t__SGB14535_group,C2,Z3
t__SGB14535_group,C2,Z7
t__SGB14535_group,C2,U5
t__SGB14535_group,C2,Z4
t__SGB14535_group,C2,C5
t__SGB14535_group,C10,C2
t__SGB14535_group,C10,C12
t__SGB14535_group,C10,U11
t__SGB14535_group,C12,U12
t__SGB14535_group,C12,C2
t__SGB14535_group,C12,U11
t__SGB14535_group,C12,Z4
t__SGB14535_group,ERR14760786,ERR14760814
t__SGB14535_group,Z11,Z9
t__SGB14535_group,Z11,Z8
t__SGB14535_group,Z11,Z3
t__SGB14535_group,Z11,Z7
t__SGB14535_group,Z11,Z5
t__SGB14535_group,Z11,Z4
t__SGB14535_group,U11,U12
t__SGB14535_group,U11,U9
t__SGB14535_group,U11,Z9
t__SGB14535_group,U11,Z10
t__SGB14535_group,U11,Z11
t__SGB14535_group,U11,U2
t__SGB14535_group,U11,Z12
t__SGB14535_group,U11,Z8
t__SGB14535_group,U11,Z3
t__SGB14535_group,U11,Z7
t__SGB14535_group,U11,Z5
t__SGB14535_group,U11,Z2
t__SGB14535_group,U11,U5
t__SGB14535_group,U11,Z4
t__SGB14535_group,U2,Z12
t__SGB14535_group,U2,Z8
t__SGB14535_group,U2,Z3
t__SGB14535_group,U2,Z7
t__SGB14535_group,Z12,Z8
t__SGB14535_group,Z12,Z3
t__SGB14535_group,Z12,Z7
t__SGB14535_group,Z3,Z8
t__SGB14535_group,Z3,Z7
t__SGB14535_group,Z3,Z5
t__SGB14535_group,Z3,Z4
t__SGB14535_group,C7,U12
t__SGB14535_group,C7,Z11
t__SGB14535_group,C7,U11
t__SGB14535_group,C7,U2
t__SGB14535_group,C7,Z12
t__SGB14535_group,C7,Z8
t__SGB14535_group,C7,Z3
t__SGB14535_group,C7,Z7
t__SGB14535_group,C7,Z5
t__SGB14535_group,C7,Z4
t__SGB14535_group,Z7,Z9
t__SGB14535_group,Z7,Z8
t__SGB14535_group,Z5,Z8
t__SGB14535_group,Z5,Z7
t__SGB14535_group,Z2,Z8
t__SGB14535_group,Z2,Z3
t__SGB14535_group,Z2,Z7
t__SGB14535_group,Z2,Z5
t__SGB14535_group,U5,U9
t__SGB14535_group,U5,Z9
t__SGB14535_group,U5,Z10
t__SGB14535_group,U5,Z11
t__SGB14535_group,U5,Z7
t__SGB14535_group,U5,Z4
t__SGB14535_group,Z4,Z9
t__SGB14535_group,Z4,Z8
t__SGB14535_group,Z4,Z7
t__SGB14535_group,Z4,Z5
t__SGB14535_group,C5,C9
t__SGB14535_group,C5,C8
t__SGB14535_group,C5,U12
t__SGB14535_group,C5,C6
t__SGB14535_group,C5,U9
t__SGB14535_group,C5,Z9
t__SGB14535_group,C5,Z10
t__SGB14535_group,C5,Z11
t__SGB14535_group,C5,U11
t__SGB14535_group,C5,Z8
t__SGB14535_group,C5,Z3
t__SGB14535_group,C5,Z7
t__SGB14535_group,C5,U5
t__SGB14535_group,C5,Z4
t__SGB1472,ERR14760631,ERR14760670
t__SGB1472,ERR14760576,ERR14760670
t__SGB1472,ERR14760576,ERR14760631
t__SGB1472,ERR14760576,ERR14760810
t__SGB1472,C5,C7
t__SGB1472,C4,C7
t__SGB1472,C4,C5
t__SGB1472,ERR14760809,ERR14760865
t__SGB1472,U3,Z2
t__SGB1472,ERR14760442,ERR14760447
t__SGB1472,C11,Z6
t__SGB1472,C11,Z5
t__SGB1472,C11,Z4
t__SGB1472,Z5,Z6
t__SGB1472,Z3,Z4
t__SGB1472,Z4,Z6
t__SGB1472,Z4,Z5
t__SGB1472,U1,Z4
t__SGB1472,U1,U8
t__SGB1472,U8,Z3
t__SGB1472,U8,Z4
t__SGB1472,C9,U11
t__SGB1472,ERR14760504,ERR14760603
t__SGB1472,U6,Z1
t__SGB1472,C1,Z11
t__SGB1472,ERR14760648,ERR14760810
t__SGB1472,ERR14760644,ERR14760648
t__SGB1472,ERR14760644,ERR14760810
t__SGB1477,ERR14760426,ERR14760504
t__SGB1477,ERR14760436,ERR14760653
t__SGB1477,U11,Z11
t__SGB1477,ERR14760509,ERR14760538
t__SGB1477,C9,Z4
t__SGB1477,C9,Z5
t__SGB1477,C9,U1
t__SGB1477,C9,Z9
t__SGB1477,Z4,Z5
t__SGB1477,Z4,Z9
t__SGB1477,Z5,Z9
t__SGB1477,U1,Z4
t__SGB1477,U1,Z5
t__SGB1477,U1,Z9
t__SGB1477,C11,C9
t__SGB1477,C11,Z4
t__SGB1477,C11,Z5
t__SGB1477,C11,U1
t__SGB1477,C11,Z9
t__SGB1477,C10,C7
t__SGB14990,C7,Z7
t__SGB14990,U4,Z9
t__SGB14990,ERR14760697,ERR14760809
t__SGB14990,ERR14760628,ERR14760809
t__SGB14990,ERR14760628,ERR14760697
t__SGB14990,C11,Z6
t__SGB14990,C11,U8
t__SGB14990,C11,U11
t__SGB14990,C11,C4
t__SGB14990,C11,Z2
t__SGB14990,U8,Z6
t__SGB14990,U8,Z2
t__SGB14990,U11,Z6
t__SGB14990,U11,U8
t__SGB14990,U11,Z2
t__SGB14990,C4,Z6
t__SGB14990,C4,U8
t__SGB14990,C4,U11
t__SGB14990,C4,Z2
t__SGB14990,Z2,Z6
t__SGB14990,C10,Z4
t__SGB14991,U4,U8
t__SGB14991,U4,U6
t__SGB14991,U4,Z3
t__SGB14991,U8,Z5
t__SGB14991,U8,Z12
