sampleA,sampleB,filtered SNP distance,sites considered,MSA file,percentage,taxonomy,genus,species
C10,Z9,0,2579518,C10_bin_96,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,Agathobacter,Agathobacter rectalis
C9,U1,22,2389892,C9_bin_65,0.000920544,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,Agathobacter,Agathobacter rectalis
U4,U9,33,2104314,U4_bin_189,0.001568207,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__,Anaeroplasma,Unclassified Anaeroplasma sp.
C9,Z11,31,3255953,C9_bin_42,0.000952102,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_A,Bacteroides,Bacteroides fragilis
U6,U8,27,2783191,U1_bin_19,0.000970109,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae,Blautia,Blautia wexlerae
U3,U6,43,2796080,U1_bin_19,0.001537867,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae,Blautia,Blautia wexlerae
U10,U11,6,2270821,U11_bin_64,0.000264222,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900540255,Clostridium,Clostridium sp900540255
U10,U5,13,2269674,U11_bin_64,0.000572769,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900540255,Clostridium,Clostridium sp900540255
U11,U5,19,2371772,U11_bin_64,0.000801089,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900540255,Clostridium,Clostridium sp900540255
C3,U10,26,2190464,U11_bin_64,0.001186963,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900540255,Clostridium,Clostridium sp900540255
C3,U11,33,2273373,U11_bin_64,0.001451588,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900540255,Clostridium,Clostridium sp900540255
C3,U5,41,2272732,U11_bin_64,0.001803996,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900540255,Clostridium,Clostridium sp900540255
U4,Z8,20,2051453,C10_bin_48,0.000974919,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__,Cryptobacteroides,Unclassified Cryptobacteroides sp.
C1,C11,0,1827258,C1_bin_92,0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis,Lagilactobacillus,Ligilactobacillus ruminis
